champion,roles,tier,win rate,pick rate,ban rate,
Aatrox,top,1,50.86%,10.50%,14.18%,   
Darius,top,1,51.04%,10.16%,27.97%,   
Garen,top,1,51.64%,9.25%,4.93%,   
Ornn,top,1,51.48%,7.61%,1.17%,   
Mordekaiser,top,2,50.97%,6.83%,6.13%,   
Fiora,top,2,49.69%,6.15%,23.29%,   
Shen,top,1,52.57%,6.08%,1.68%,   
Gangplank,top,4,47.78%,5.77%,6.32%,   
Sion,top,3,49.60%,5.70%,0.86%,   
Jax,top,3,49.56%,5.23%,7.89%,   
Camille,top,2,51.08%,5.13%,4.47%,   
Renekton,top,4,48.72%,5.03%,1.96%,   
Riven,top,2,50.99%,4.99%,2.64%,   
Yone,top,4,48.00%,4.71%,7.32%,   
Sett,top,3,49.35%,4.66%,1.42%,   
Gnar,top,4,48.04%,4.64%,1.30%,   
Irelia,top,3,49.28%,4.11%,8.42%,   
Olaf,top,2,51.45%,3.94%,2.77%,   
Gwen,top,5,46.61%,3.39%,2.48%,   
Tryndamere,top,3,50.06%,3.27%,4.95%,   
Kayle,top,3,50.78%,3.20%,2.11%,   
Sejuani,top,2,51.54%,3.02%,0.47%,   
Illaoi,top,3,50.89%,2.89%,2.08%,   
Teemo,top,3,50.22%,2.88%,1.77%,   
Gragas,top,5,48.35%,2.77%,0.33%,   
Singed,top,1,53.61%,2.76%,0.41%,   
Akali,top,5,46.21%,2.73%,4.62%,   
Urgot,top,4,50.18%,2.70%,0.68%,   
Pantheon,top,3,50.99%,2.50%,0.55%,   
Nasus,top,4,49.12%,2.49%,1.03%,   
Yorick,top,4,50.11%,2.40%,1.54%,   
Shyvana,top,3,50.54%,2.39%,1.26%,   
Dr. Mundo,top,3,51.19%,2.36%,0.73%,   
Volibear,top,5,48.25%,2.35%,1.37%,   
Wukong,top,2,51.91%,2.35%,3.77%,   
Kled,top,3,50.74%,2.34%,0.69%,   
Malphite,top,5,47.56%,2.12%,1.55%,   
Kennen,top,5,48.39%,2.03%,0.32%,   
Akshan,top,3,51.35%,1.92%,3.40%,   
Yasuo,top,5,48.54%,1.88%,2.82%,   
Warwick,top,3,51.17%,1.83%,0.53%,   
Quinn,top,3,52.29%,1.76%,0.57%,   
Cho'Gath,top,5,49.90%,1.62%,0.34%,   
Vladimir,top,5,48.10%,1.62%,1.97%,   
Trundle,top,4,50.23%,1.55%,0.88%,   
Vayne,top,4,51.11%,1.53%,1.39%,   
Tahm Kench,top,5,49.68%,1.49%,0.54%,   
Sylas,top,5,47.92%,1.46%,1.00%,   
Lillia,top,3,51.81%,1.46%,0.79%,   
Jayce,top,5,48.29%,1.22%,0.09%,   
Poppy,top,4,52.02%,1.12%,0.79%,   
Karthus,top,5,47.11%,0.85%,0.33%,   
Rumble,top,5,50.53%,0.82%,0.06%,   
Heimerdinger,top,5,50.86%,0.81%,0.21%,   
Rengar,top,5,49.60%,0.79%,1.19%,   
Swain,top,5,50.19%,0.72%,0.29%,   
Cassiopeia,top,5,50.57%,0.69%,0.55%,   
Zac,top,5,49.11%,0.58%,0.64%,   
Kayn,jungle,1,50.90%,12.88%,20.06%,   
Diana,jungle,1,51.76%,12.79%,44.66%,   
Viego,jungle,3,47.56%,8.34%,6.97%,   
Lee Sin,jungle,4,45.59%,7.42%,1.57%,   
Kha'Zix,jungle,2,50.74%,7.19%,5.12%,   
Trundle,jungle,2,52.64%,6.63%,3.79%,   
Fiddlesticks,jungle,2,52.24%,6.45%,11.17%,   
Master Yi,jungle,2,51.82%,6.12%,20.63%,   
Graves,jungle,3,48.04%,5.92%,1.46%,   
Bel'Veth,jungle,2,51.82%,5.86%,32.88%,   
Wukong,jungle,3,49.52%,5.75%,9.23%,   
Zac,jungle,3,50.20%,5.74%,6.26%,   
Shaco,jungle,2,51.45%,5.72%,8.19%,   
Ekko,jungle,3,49.97%,5.53%,1.83%,   
Jarvan IV,jungle,3,50.43%,5.07%,0.34%,   
Vi,jungle,3,50.52%,4.96%,0.91%,   
Pantheon,jungle,4,46.31%,4.89%,1.07%,   
Lillia,jungle,3,49.86%,4.82%,2.61%,   
Rengar,jungle,3,50.12%,4.63%,6.95%,   
Volibear,jungle,2,53.10%,4.40%,2.55%,   
Shyvana,jungle,3,51.28%,4.31%,2.26%,   
Nunu & Willump,jungle,2,52.14%,3.84%,1.07%,   
Hecarim,jungle,4,48.36%,3.83%,1.40%,   
Kindred,jungle,3,50.80%,3.77%,1.71%,   
Poppy,jungle,4,48.20%,3.53%,2.49%,   
Amumu,jungle,3,50.86%,3.49%,1.17%,   
Evelynn,jungle,3,49.71%,3.35%,9.01%,   
Elise,jungle,3,51.49%,2.93%,0.67%,   
Rek'Sai,jungle,3,52.63%,2.88%,1.82%,   
Rammus,jungle,3,51.66%,2.86%,2.77%,   
Nocturne,jungle,4,49.45%,2.85%,1.64%,   
Karthus,jungle,5,46.41%,2.69%,1.04%,   
Warwick,jungle,3,51.61%,2.59%,0.75%,   
Nidalee,jungle,4,47.87%,2.48%,0.40%,   
Udyr,jungle,4,49.17%,2.44%,1.08%,   
Talon,jungle,4,48.42%,2.32%,0.56%,   
Sejuani,jungle,4,48.75%,2.13%,0.33%,   
Taliyah,jungle,4,48.43%,2.06%,1.78%,   
Zed,jungle,4,49.43%,1.88%,4.01%,   
Xin Zhao,jungle,4,48.75%,1.84%,0.33%,   
Olaf,jungle,4,51.82%,1.42%,1.00%,   
Qiyana,jungle,5,46.68%,1.24%,1.29%,   
Mordekaiser,jungle,4,50.97%,1.24%,1.11%,   
Skarner,jungle,4,52.57%,1.02%,0.11%,   
Ivern,jungle,4,50.50%,0.99%,0.13%,   
Gragas,jungle,5,46.74%,0.81%,0.10%,   
Sylas,mid,1,50.40%,12.41%,8.48%,   
Viktor,mid,1,51.11%,11.32%,9.94%,   
Ahri,mid,2,50.03%,8.79%,3.90%,   
Yasuo,mid,2,49.49%,8.23%,12.40%,   
Akali,mid,2,48.64%,7.96%,13.50%,   
Zed,mid,1,52.27%,7.92%,16.99%,   
Katarina,mid,2,50.05%,7.68%,11.31%,   
Vladimir,mid,2,50.33%,7.66%,9.32%,   
Yone,mid,2,49.37%,7.41%,11.55%,   
Vex,mid,1,51.84%,6.99%,6.63%,   
Veigar,mid,3,49.28%,4.56%,2.16%,   
LeBlanc,mid,4,48.47%,4.19%,3.16%,   
Azir,mid,4,47.43%,4.05%,1.34%,   
Taliyah,mid,3,49.27%,3.94%,3.42%,   
Anivia,mid,2,51.67%,3.75%,4.12%,   
Kassadin,mid,3,49.07%,3.67%,13.01%,   
Lux,mid,2,50.64%,3.58%,0.33%,   
Xerath,mid,3,49.76%,3.47%,1.12%,   
Akshan,mid,2,51.25%,3.43%,6.07%,   
Cassiopeia,mid,1,53.12%,3.33%,2.67%,   
Qiyana,mid,2,50.39%,3.29%,3.42%,   
Swain,mid,2,52.10%,3.22%,1.30%,   
Ekko,mid,4,48.97%,3.11%,1.03%,   
Malzahar,mid,3,49.93%,3.03%,2.09%,   
Orianna,mid,4,48.99%,3.01%,0.17%,   
Lissandra,mid,4,48.40%,3.00%,0.81%,   
Fizz,mid,2,50.95%,2.97%,2.27%,   
Irelia,mid,4,48.65%,2.72%,5.59%,   
Vel'Koz,mid,2,52.35%,2.53%,0.27%,   
Syndra,mid,5,46.13%,2.43%,0.30%,   
Zoe,mid,4,49.03%,2.36%,0.83%,   
Twisted Fate,mid,5,46.19%,1.86%,0.06%,   
Talon,mid,3,50.43%,1.85%,0.45%,   
Gangplank,mid,5,47.59%,1.65%,1.81%,   
Corki,mid,5,47.21%,1.63%,0.23%,   
Heimerdinger,mid,2,52.71%,1.62%,0.42%,   
Galio,mid,3,51.10%,1.54%,0.09%,   
Seraphine,mid,4,50.54%,1.43%,0.79%,   
Annie,mid,4,50.84%,1.40%,0.25%,   
Diana,mid,3,51.17%,1.21%,4.23%,   
Ziggs,mid,5,46.84%,1.18%,0.07%,   
Zilean,mid,1,55.35%,1.10%,0.79%,   
Gragas,mid,3,52.13%,1.10%,0.13%,   
Karthus,mid,5,47.62%,1.10%,0.43%,   
Pantheon,mid,2,52.90%,1.07%,0.23%,   
Varus,mid,5,48.23%,1.06%,0.04%,   
Ryze,mid,5,44.47%,1.02%,0.04%,   
Neeko,mid,4,51.01%,0.94%,0.04%,   
Kayle,mid,5,48.53%,0.92%,0.61%,   
Zeri,mid,5,46.14%,0.87%,0.50%,   
Karma,mid,5,49.37%,0.82%,0.12%,   
Rumble,mid,3,52.99%,0.80%,0.05%,   
Tristana,mid,4,51.68%,0.74%,0.06%,   
Kennen,mid,4,51.57%,0.71%,0.11%,   
Brand,mid,5,48.53%,0.66%,0.20%,   
Renekton,mid,4,50.67%,0.65%,0.25%,   
Aurelion Sol,mid,5,48.00%,0.55%,0.13%,   
Singed,mid,3,53.27%,0.54%,0.08%,   
Sivir,bottom,0,51.23%,23.30%,23.21%,   
Jhin,bottom,1,51.21%,16.23%,1.23%,   
Ezreal,bottom,3,47.72%,14.37%,2.30%,   
Twitch,bottom,1,51.39%,14.24%,15.29%,   
Draven,bottom,1,51.33%,12.04%,51.16%,   
Miss Fortune,bottom,1,51.33%,10.73%,1.83%,   
Samira,bottom,2,50.02%,10.61%,14.01%,   
Kai'Sa,bottom,3,48.76%,10.21%,0.58%,   
Caitlyn,bottom,2,50.37%,9.38%,1.96%,   
Vayne,bottom,2,50.09%,8.64%,8.01%,   
Jinx,bottom,3,49.34%,8.20%,0.26%,   
Zeri,bottom,5,45.98%,7.45%,4.36%,   
Lucian,bottom,3,49.04%,6.94%,1.24%,   
Ashe,bottom,2,50.97%,5.97%,2.05%,   
Kalista,bottom,4,48.18%,5.12%,3.55%,   
Tristana,bottom,3,49.86%,4.83%,0.42%,   
Aphelios,bottom,5,46.42%,4.18%,0.32%,   
Nilah,bottom,2,51.41%,3.79%,16.04%,   
Kog'Maw,bottom,2,51.93%,3.64%,0.68%,   
Varus,bottom,4,49.51%,3.50%,0.13%,   
Xayah,bottom,5,48.28%,2.97%,0.17%,   
Seraphine,bottom,2,52.55%,2.73%,1.53%,   
Karthus,bottom,2,53.99%,1.84%,0.73%,   
Yasuo,bottom,5,48.46%,1.50%,2.29%,   
Ziggs,bottom,5,49.18%,0.81%,0.05%,   
Veigar,bottom,5,50.15%,0.81%,0.39%,   
Swain,bottom,4,52.81%,0.74%,0.30%,   
Lulu,support,1,50.67%,14.31%,22.25%,   
Nami,support,2,50.66%,11.29%,1.89%,   
Yuumi,support,2,48.60%,10.09%,47.31%,   
Pyke,support,2,50.66%,10.06%,15.42%,   
Janna,support,1,53.01%,9.59%,3.07%,   
Senna,support,2,50.64%,8.93%,8.08%,   
Ashe,support,3,49.11%,8.51%,2.86%,   
Karma,support,3,49.23%,8.47%,1.24%,   
Thresh,support,3,49.29%,8.29%,1.71%,   
Renata Glasc,support,2,51.47%,7.96%,9.04%,   
Nautilus,support,4,47.47%,7.02%,8.84%,   
Zilean,support,2,51.60%,5.80%,4.14%,   
Soraka,support,2,50.93%,5.78%,2.77%,   
Bard,support,2,51.65%,5.59%,0.58%,   
Morgana,support,3,50.26%,5.22%,10.85%,   
Leona,support,4,48.91%,5.08%,3.61%,   
Amumu,support,2,51.28%,4.84%,1.61%,   
Blitzcrank,support,3,49.68%,4.79%,5.24%,   
Lux,support,3,50.46%,4.43%,0.40%,   
Rakan,support,4,49.08%,4.33%,0.16%,   
Zyra,support,2,52.16%,3.96%,1.21%,   
Xerath,support,3,50.86%,3.96%,1.27%,   
Seraphine,support,4,49.27%,3.89%,2.13%,   
Taric,support,2,53.09%,3.71%,0.92%,   
Sona,support,2,51.61%,3.68%,0.15%,   
Brand,support,4,49.38%,3.24%,0.98%,   
Swain,support,4,49.67%,3.17%,1.28%,   
Alistar,support,5,48.86%,3.00%,0.38%,   
Vel'Koz,support,4,50.64%,2.37%,0.25%,   
Braum,support,5,48.60%,2.01%,0.20%,   
Pantheon,support,5,46.77%,1.55%,0.34%,   
Maokai,support,3,52.56%,1.43%,0.06%,   
Rell,support,5,49.97%,1.28%,0.16%,   
Miss Fortune,support,5,46.80%,1.18%,0.20%,   
Shaco,support,5,50.18%,1.02%,1.45%,   
Heimerdinger,support,5,50.69%,0.66%,0.17%,   
Tahm Kench,support,5,48.37%,0.62%,0.22%,   
